,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
506,Vasilis Torosidis,gr GRE,DF,Bologna,32,1985,9.1,0,2,1,50.0,0.22,0.11,0.00,0.00,31.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,8ea2c099
507,Emanuele Torrasi,it ITA,MF,Milan,18,1999,0.1,0,,0,,,0.00,,,,,0,0,,,,,,Matches,16bc48f8
508,Lucas Torreira,uy URU,MF,Sampdoria,21,1996,35.3,4,33,10,30.3,0.93,0.28,0.12,0.40,26.5,6,0,0,1.4,1.4,0.04,+2.6,+2.6,Matches,52611641
509,Alin Toșca,ro ROU,DF,Benevento,25,1992,13.0,0,3,0,0.0,0.23,0.00,0.00,,15.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,322ba2df
510,Marcello Trotta,it ITA,FW,Crotone,24,1992,25.1,7,62,23,37.1,2.47,0.92,0.08,0.22,19.5,0,2,3,6.9,4.6,0.07,+0.1,+0.4,Matches,acdad0aa
511,Marco Tumminello,it ITA,FW,Crotone,18,1998,2.3,3,8,6,75.0,3.55,2.66,0.38,0.50,18.5,0,0,0,1.0,1.0,0.13,+2.0,+2.0,Matches,5bdd44d8
512,Marco Tumminello,it ITA,FW,Roma,18,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5bdd44d8
513,Ľubomír Tupta,sk SVK,MFFW,Hellas Verona,19,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b02af64f
514,Cengiz Ünder,tr TUR,FW,Roma,20,1997,13.9,7,46,16,34.8,3.31,1.15,0.15,0.44,18.6,0,0,0,4.6,4.6,0.10,+2.4,+2.4,Matches,1880614f
515,Sauli Väisänen,fi FIN,DF,SPAL,23,1994,6.0,0,3,0,0.0,0.50,0.00,0.00,,8.9,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches,23214a49
516,Mirko Valdifiori,it ITA,MF,Torino,31,1986,6.9,0,2,0,0.0,0.29,0.00,0.00,,30.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,c710f7d5
517,Borja Valero,es ESP,MF,Inter,32,1985,28.5,2,18,8,44.4,0.63,0.28,0.11,0.25,17.0,0,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches,0e21fc3c
518,Mattia Valoti,it ITA,MFFW,Hellas Verona,23,1993,17.5,3,21,9,42.9,1.20,0.51,0.14,0.33,14.4,0,0,0,3.6,3.6,0.17,-0.6,-0.6,Matches,c414df9d
519,Matías Vecino,uy URU,MF,Inter,25,1991,23.7,3,40,14,35.0,1.68,0.59,0.08,0.21,18.7,0,0,0,3.2,3.2,0.08,-0.2,-0.2,Matches,44ac04e9
520,Miguel Veloso,pt POR,MF,Genoa,31,1986,19.3,1,28,6,21.4,1.45,0.31,0.04,0.17,27.6,5,0,0,1.0,1.0,0.04,0.0,0.0,Matches,ab1ca213
521,Lorenzo Venuti,it ITA,DF,Benevento,22,1995,26.6,0,5,1,20.0,0.19,0.04,0.00,0.00,12.0,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,983ff2c7
522,Daniele Verde,it ITA,FWMF,Hellas Verona,21,1996,21.7,2,37,11,29.7,1.70,0.51,0.05,0.18,27.0,7,0,0,2.3,2.3,0.06,-0.3,-0.3,Matches,d3298c99
523,Simone Verdi,it ITA,FWMF,Bologna,25,1992,31.4,10,90,27,30.0,2.87,0.86,0.09,0.30,23.2,26,2,2,7.8,6.3,0.07,+2.2,+1.7,Matches,0375723e
524,Jordan Veretout,fr FRA,MF,Fiorentina,24,1993,35.7,8,59,16,27.1,1.65,0.45,0.10,0.38,26.4,11,2,3,5.4,3.0,0.05,+2.6,+3.0,Matches,4a56052c
525,Valerio Verre,it ITA,MF,Sampdoria,23,1994,4.0,0,6,1,16.7,1.50,0.25,0.00,0.00,23.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,33ecf462
526,Francesco Vicari,it ITA,DF,SPAL,22,1994,31.7,0,9,1,11.1,0.28,0.03,0.00,0.00,19.5,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,de045b15
527,Luca Vido,it ITA,FWMF,Atalanta,20,1997,0.8,0,4,2,50.0,4.86,2.43,0.00,0.00,20.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,eb0d77a4
528,Nicolas Viola,it ITA,MF,Benevento,27,1989,20.6,2,33,13,39.4,1.61,0.63,0.06,0.15,30.2,7,0,1,2.3,1.5,0.04,-0.3,+0.5,Matches,45392b06
