,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
129,Massimo Coda,it ITA,FW,Benevento,28,1988,15.7,12,9,3,4,5,2,13,15.4,11,7,2,5,6,18,11,0,Matches,4c7940d6
130,Isaac Cofie,gh GHA,MF,Genoa,25,1991,6.6,13,10,3,9,1,7,15,46.7,8,9,3,6,10,23,7,0,Matches,c6dda86e
131,Andrea Consigli,it ITA,GK,Sassuolo,30,1987,36.8,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,27,6,Matches,8cabdc1e
132,Andrea Conti,it ITA,DF,Milan,23,1994,1.7,4,2,1,3,0,2,3,66.7,1,3,0,3,1,5,5,0,Matches,8fef5412
133,Duje Čop,hr CRO,FWMF,Cagliari,27,1990,1.1,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,Matches,8b0b02c9
134,Alex Cordaz,it ITA,GK,Crotone,34,1983,38.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,4,Matches,e66ebabb
135,Andreas Cornelius,dk DEN,FW,Atalanta,24,1993,10.4,9,5,3,3,3,1,7,14.3,6,7,0,7,2,11,7,0,Matches,c693347d
136,Andrea Cossu,it ITA,MFFW,Cagliari,37,1980,2.7,1,0,0,0,1,0,2,0.0,2,2,0,2,3,4,2,0,Matches,70fd593e
137,Andrea Costa,it ITA,DF,Benevento,31,1986,15.3,19,14,13,6,0,9,19,47.4,10,21,15,6,37,56,78,2,Matches,f5e9a8bd
138,Douglas Costa,br BRA,FWMF,Juventus,26,1990,19.9,17,14,10,5,2,8,25,32.0,17,15,0,15,7,24,7,0,Matches,4fa7cb9b
139,Filippo Costa,it ITA,DF,SPAL,22,1995,16.4,19,12,7,7,5,7,17,41.2,10,23,6,17,22,41,50,0,Matches,00528660
140,Angelo da Costa Júnior,br BRA,GK,Bologna,33,1983,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,18736214
141,Alessio Cragno,it ITA,GK,Cagliari,23,1994,28.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,12,0,Matches,f554e29b
142,Michele Cremonesi,it ITA,DF,SPAL,29,1988,4.3,4,2,2,2,0,1,4,25.0,3,5,3,2,7,11,28,0,Matches,53636fce
143,Lorenzo Crisetig,it ITA,MF,Bologna,24,1993,6.2,18,14,8,9,1,7,24,29.2,17,8,2,6,13,31,16,1,Matches,f54dfca8
144,Bryan Cristante,it ITA,MF,Atalanta,22,1995,31.4,66,50,21,32,13,18,59,30.5,41,43,6,37,23,89,27,0,Matches,16657b95
145,Sebastián Cristóforo,uy URU,MF,Fiorentina,23,1993,3.0,16,12,6,8,2,9,19,47.4,10,4,0,4,4,20,6,0,Matches,3c05c659
