,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
517,Borja Valero,es ESP,MF,Inter,32,1985,28.5,46,31,17,25,4,20,58,34.5,38,15,4,11,18,64,41,1,Matches,0e21fc3c
518,Mattia Valoti,it ITA,MFFW,Hellas Verona,23,1993,17.5,62,41,21,35,6,11,53,20.8,42,25,3,22,41,103,37,1,Matches,c414df9d
519,Matías Vecino,uy URU,MF,Inter,25,1991,23.7,54,34,15,30,9,19,49,38.8,30,28,6,22,20,74,31,0,Matches,44ac04e9
520,Miguel Veloso,pt POR,MF,Genoa,31,1986,19.3,40,29,18,19,3,11,41,26.8,30,26,3,23,13,53,35,0,Matches,ab1ca213
521,Lorenzo Venuti,it ITA,DF,Benevento,22,1995,26.6,44,34,26,12,6,16,37,43.2,21,40,16,24,40,84,105,3,Matches,983ff2c7
522,Daniele Verde,it ITA,FWMF,Hellas Verona,21,1996,21.7,10,9,8,1,1,6,20,30.0,14,8,0,8,30,40,19,0,Matches,d3298c99
523,Simone Verdi,it ITA,FWMF,Bologna,25,1992,31.4,33,24,17,13,3,11,43,25.6,32,20,1,19,36,69,12,0,Matches,0375723e
524,Jordan Veretout,fr FRA,MF,Fiorentina,24,1993,35.7,65,45,34,23,8,20,69,29.0,49,39,4,35,37,102,59,0,Matches,4a56052c
525,Valerio Verre,it ITA,MF,Sampdoria,23,1994,4.0,7,3,3,2,2,2,7,28.6,5,12,0,12,8,15,7,0,Matches,33ecf462
526,Francesco Vicari,it ITA,DF,SPAL,22,1994,31.7,38,22,25,13,0,21,39,53.8,18,33,27,6,45,83,210,1,Matches,de045b15
527,Luca Vido,it ITA,FWMF,Atalanta,20,1997,0.8,5,5,2,3,0,1,1,100.0,0,1,0,1,0,5,0,0,Matches,eb0d77a4
528,Nicolas Viola,it ITA,MF,Benevento,27,1989,20.6,37,27,20,14,3,15,39,38.5,24,29,8,21,24,61,23,2,Matches,45392b06
529,Mattia Vitale,it ITA,MFFW,SPAL,19,1997,1.1,2,1,2,0,0,0,0,,0,1,0,1,3,5,1,0,Matches,8e4b894b
530,Federico Viviani,it ITA,MF,SPAL,25,1992,27.6,52,36,23,26,3,18,55,32.7,37,39,9,30,58,110,26,2,Matches,2258c078
531,Emiliano Viviano,it ITA,GK,Sampdoria,31,1985,27.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,4,Matches,03760df0
532,Giovanni Volpicelli,it ITA,MF,Benevento,17,1999,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,844a87c2
533,Stefan de Vrij,nl NED,DF,Lazio,25,1992,33.7,31,22,14,17,0,14,23,60.9,9,43,24,19,71,102,156,1,Matches,d0d8dd44
534,Jagoš Vuković,rs SRB,DF,Hellas Verona,29,1988,14.8,5,4,3,1,1,3,6,50.0,3,19,14,5,20,25,113,0,Matches,ba06950a
535,Molla Wagué,ml MLI,DF,Udinese,26,1991,0.6,1,0,0,1,0,0,0,,0,0,0,0,2,3,5,0,Matches,a440d8ca
536,Wallace,br BRA,DF,Lazio,22,1994,11.1,17,7,11,6,0,4,13,30.8,9,13,5,8,29,46,43,3,Matches,d61b3354
537,Silvan Widmer,ch SUI,DFFW,Udinese,24,1993,18.1,45,32,30,15,0,22,40,55.0,18,22,5,17,28,73,59,0,Matches,f68b64fc
538,Jawad El Yamiq,ma MAR,DF,Genoa,25,1992,4.0,8,5,7,1,0,6,8,75.0,2,11,5,6,5,13,22,1,Matches,f6f6b6e8
539,Mattia Zaccagni,it ITA,MFFW,Hellas Verona,22,1995,1.7,7,5,4,0,3,2,3,66.7,1,0,0,0,5,12,0,0,Matches,d85c238b
540,Francesco Zampano,it ITA,DF,Udinese,23,1993,4.6,9,7,5,3,1,5,10,50.0,5,4,0,4,6,15,7,0,Matches,8e45910b
541,Niccolò Zanellato,it ITA,MF,Crotone,19,1998,0.8,3,2,0,3,0,1,2,50.0,1,3,0,3,0,3,0,0,Matches,741e058f
542,Cristián Zapata,co COL,DF,Milan,30,1986,11.0,25,20,21,4,0,15,16,93.8,1,12,6,6,15,40,50,1,Matches,b1deecf8
543,Duván Zapata,co COL,FW,Sampdoria,26,1991,23.4,12,7,1,7,4,1,6,16.7,5,13,0,13,5,17,22,1,Matches,d3de9af0
544,Davide Zappacosta,it ITA,DFFW,Torino,25,1992,1.1,1,0,1,0,0,0,0,,0,0,0,0,2,3,1,0,Matches,7fe90ccd
545,Rafik Zekhnini,no NOR,FW,Fiorentina,19,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,1b62a7df
546,Piotr Zieliński,pl POL,MFFW,Napoli,23,1994,18.5,31,19,7,21,3,9,24,37.5,15,32,3,29,13,44,19,1,Matches,a5296e55
547,Bruno Zuculini,ar ARG,MF,Hellas Verona,24,1993,13.5,68,49,37,28,3,20,48,41.7,28,35,8,27,38,106,31,0,Matches,17cddb4d
548,Franco Zuculini,ar ARG,MFFW,Hellas Verona,26,1990,3.7,11,8,5,5,1,5,14,35.7,9,4,0,4,5,16,6,1,Matches,9c31bb89
549,Ervin Zukanović,ba BIH,DF,Genoa,30,1987,31.9,50,41,33,16,1,20,51,39.2,31,32,19,13,48,98,175,0,Matches,1253a12e
550,Filip Đuričić,rs SRB,MFFW,Benevento,25,1992,10.8,22,14,11,8,3,5,9,55.6,4,7,1,6,9,31,5,0,Matches,eccbe56a
551,Filip Đuričić,rs SRB,MF,Sampdoria,25,1992,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,eccbe56a
552,Christian Rutjens,,,Benevento,,,0.0,,,,,,,,,,,,,,,,,Matches,Christian-Rutjens
