Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Evan Ndicka,Eintracht Frankfurt,23, D(CL)  ,23,2044,1.3,2,1.4,0.7,3.3,0.5,0.3,0,6.84
Josip Brekalo,Wolfsburg,24," AM(CLR),FW  ",22(7),1825,0.8,0.6,0.3,0,0.1,0.7,0,0,6.83
Alassane Plea,Borussia M.Gladbach,30," AM(CLR),FW  ",19(10),1807,0.7,0.2,0.6,0,0.2,0.5,0,0,6.83
Ramy Bensebaïni,Borussia M.Gladbach,27," D(CL),DMC,M(L)  ",20(5),1814,1.7,1.9,1.4,0.2,2.5,0.6,0.3,0,6.83
Djibril Sow,Eintracht Frankfurt,26, M(C)  ,25(3),2180,2.1,1.8,1.4,0.1,0.5,0.8,0.3,0,6.83
Rafal Gikiewicz,Augsburg,35, GK  ,34,3060,0,0.1,0,0,0.6,0.1,0,0,6.83
Jonas Hector,FC Koln,32," D(L),M(CL)  ",15(4),1294,1.8,1,0.6,0.1,0.9,1.1,0.3,0,6.82
Florian Grillitsch,Hoffenheim,27," D(C),M(CL)  ",22(4),1882,1.4,2,1.2,0.3,1.7,1.3,0.3,0,6.81
Giovanni Reyna,Borussia Dortmund,20, AM(CLR)  ,23(9),1984,0.8,0.3,0.8,0,0.3,0.5,0,0,6.81
Amadou Haidara,RBL,25, M(CLR)  ,21(10),1910,1.6,1,0.7,0,0.6,0.8,0,0,6.81
Patrik Schick,Leverkusen,27," AM(R),FW  ",20(9),1865,0.2,0.1,1,0,0.7,0.1,0.1,0,6.81
Joakim Nilsson,Arminia Bielefeld,29, D(C)  ,24(1),2163,1.4,1.6,0.5,0.6,4.4,0.4,0.9,1,6.80
Stefan Ortega,Arminia Bielefeld,30, GK  ,34,3060,0.1,0,0,0,0.6,0.1,0,0,6.79
Nordi Mukiele,RBL,25," D(CR),M(R)  ",21(7),1684,1.6,0.8,1.4,0.2,1.1,0.6,0,0,6.79
Sheraldo Becker,Union Berlin,28," AM(CLR),FW  ",15(3),1114,0.3,0.3,1.2,0,0.4,0.1,0,0,6.79
David Alaba,Bayern,30," D(CL),M(CL)  ",30(2),2676,1.2,1.3,0.6,0.7,1.8,0.5,0.4,0,6.79
André Hahn,Augsburg,32," AM(CLR),FW  ",24(5),2047,1.1,0.5,1.1,0,0.7,1.2,0.1,0,6.79
Jhon Córdoba,Hertha Berlin,29, FW  ,17(4),1544,0.4,0.3,1.8,0,0.2,0.1,0.1,0,6.78
Jeremiah St. Juste,Mainz,26," D(CR),DMC  ",32,2880,2,2,1.3,0.3,2.4,0.5,0.8,1,6.77
Yussuf Poulsen,RBL,28," AM(R),FW  ",14(13),1352,0.4,0.2,0.8,0,0.5,0.6,0,0,6.77
Mahmoud Dahoud,Borussia Dortmund,27, M(C)  ,15(6),1264,1.4,0.9,1.3,0,0.4,1.1,0.2,0,6.77
Amin Younes,Eintracht Frankfurt,29, AM(CL)  ,16(10),1401,1,0.5,1.5,0,0.2,1,0,0,6.77
Emil Forsberg,RBL,31," AM(CLR),FW  ",20(9),1552,0.4,0.4,0.5,0,0.1,0.8,0,0,6.76
Leandro Barreiro,Mainz,23, DMC  ,27(2),2314,2,2,2.2,0,1.8,1,0.3,0,6.76
Maximilian Mittelstädt,Hertha Berlin,25," D(L),M(CL)  ",22(5),1803,2.4,2,0.9,0.1,1.8,1.4,0.2,0,6.76
Stefan Lainer,Borussia M.Gladbach,30," D(R),M(R)  ",31(2),2773,1.9,1.1,0.9,0.2,2.2,1,0.2,0,6.76
Lucas Alario,Leverkusen,30, FW  ,12(13),1244,0.3,0.1,0.7,0,0.4,0.1,0,0,6.75
Jonathan Tah,Leverkusen,27, D(C)  ,24(3),2220,1.1,1.2,1.1,0.6,3,0.4,0.4,0,6.75
Kerem Demirbay,Leverkusen,29, M(C)  ,20(9),1748,1.6,0.3,1.5,0,0.2,0.7,0.1,0,6.75
Alexander Sørloth,RBL,27," AM(R),FW  ",13(16),1432,0.2,0.1,0.9,0,0.4,0.4,0.1,0,6.75
Yannick Gerhardt,Wolfsburg,28," D(L),M(CL)  ",21(8),1934,1.8,0.7,1.2,0.1,0.9,1.1,0.1,0,6.75
Jamal Musiala,Bayern,20, M(CL)  ,7(19),871,0.8,0.5,0.5,0,0,0.6,0.1,0,6.74
Jérôme Boateng,Bayern,34, D(CR)  ,29,2379,0.9,1.4,0.8,0.9,2.1,0.6,0.6,0,6.74
Iago,Augsburg,25," D(L),M(L)  ",18,1564,2.1,1.2,0.6,0.3,2.4,0.7,0.3,0,6.74
Gregor Kobel,Stuttgart,25, GK  ,33,2970,0.1,0.1,0,0,0.6,0,0,0,6.74
Baptiste Santamaría,Freiburg,28, DMC  ,28(2),2221,1.7,1.7,1.1,0,1,1.1,0.2,1,6.74
Alexander Hack,Mainz,29, D(C)  ,14(7),1367,1.5,2,0.7,0.3,4.3,0.6,0.8,0,6.74
Mattéo Guendouzi,Hertha Berlin,23, M(C)  ,19(5),1817,1,0.9,1,0,0.8,0.7,0.2,0,6.73
Josh Sargent,Werder Bremen,23," AM(CLR),FW  ",30(2),2519,1,0.5,1,0,1.1,0.4,0.1,1,6.73
Lucas Tousart,Hertha Berlin,25, DMC  ,25(1),2098,1.3,1.5,1.3,0,1.8,0.5,0.2,0,6.73
Ralf Fährmann,Schalke,34, GK  ,22,1878,0.1,0,0,0,1,0,0,0,6.73
Christian Günter,Freiburg,30," D(L),M(L)  ",34,3060,1,0.9,0.9,0.1,0.9,0.8,0.3,0,6.73
Rafael Czichos,FC Koln,32, D(C)  ,26(2),2262,1.7,1.9,0.9,0.4,3.9,0.7,0.3,0,6.72
Cédric Brunner,Arminia Bielefeld,29, D(CR)  ,30(1),2660,1.4,1.4,1.1,0.2,2.7,0.4,0.3,0,6.72
Koen Casteels,Wolfsburg,30, GK  ,32,2880,0,0.1,0,0,0.7,0,0,0,6.72
Lucas Höler,Freiburg,28," AM(CLR),FW  ",22(11),2095,1.1,0.5,0.8,0,0.4,0.6,0.1,0,6.71
