Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Davide Calabria,AC Milan,26," D(LR),M(R)  ",16(9),1623,1,1,0.5,0.5,0.4,0.9,0,0.1,0.8,6.62
Jhon Chancellor,Brescia,31, D(C)  ,26,2246,3,0,0.5,0,0.2,0.3,0.1,0.2,0.5,6.62
Marlon Santos,Sassuolo,27, D(C)  ,22(2),1821,0,0,0.2,0.4,0.1,0.5,0,0.1,0.3,6.61
Milan Skriniar,Inter,28, D(C)  ,30(2),2628,0,0,0.4,0.3,0.2,0.8,0,0.3,0.3,6.61
Sebastien De Maio,Udinese,36, D(C)  ,17(4),1502,0,0,0.4,0,0,0.4,0.1,0.1,0.3,6.60
Thiago Cionek,SPAL 2013,36, D(CR)  ,23(5),2166,0,1,0.4,0.6,0.4,1.9,0,0.4,0.7,6.59
Andrea Poli,Bologna,33, M(CL)  ,22(6),1926,2,0,0.9,0.6,0.5,1,0,0.5,0.7,6.59
Pol Lirola,Fiorentina,25," D(R),M(LR)  ",30(5),2655,0,2,0.7,1,1.3,0.2,0,0.4,1.1,6.59
Kevin Lasagna,Udinese,30," AM(CL),FW  ",28(8),2573,10,1,2.2,0.6,0.3,0.9,0.4,0.8,2.2,6.59
Hamed Traorè,Sassuolo,23, AM(CLR)  ,20(11),1577,4,1,1.5,1,0.8,0.7,0.2,0.8,1,6.59
Pau López,Roma,28, GK  ,32,2910,0,0,0,0,0,0.1,0,0,0.1,6.59
Pedro Obiang,Sassuolo,30, DMC  ,18(7),1670,1,1,0.9,0.6,0.8,0.8,0,0.5,0.7,6.59
Gastón Brugman,Parma Calcio 1913,30, M(C)  ,17(6),1465,0,2,0.4,0.5,0.4,0.8,0,0.4,0.3,6.59
Samir,Udinese,28, D(CL)  ,16(5),1542,1,0,0.2,0.3,0.2,1.1,0,0.1,0.4,6.58
Andrea Conti,AC Milan,29," D(R),M(R)  ",21(2),1729,0,2,0,0.5,0.3,1,0,0.3,0.6,6.58
Matteo Darmian,Parma Calcio 1913,33," D(CLR),M(LR)  ",30(3),2685,1,1,0.2,0.4,0.3,1.4,0.1,0.4,0.7,6.58
