Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Sébastien Corchia,Nantes,32," D(R),M(R)  ",4(15),604,0.7,0.4,0.7,0,0.7,0.5,0.1,0,6.26
Ismaël Diallo,AC Ajaccio,26, D(L)  ,18(2),1619,1.5,1,1.6,0.2,1.7,1.1,0.5,0,6.26
Marcus Coco,Nantes,26," M(LR),FW  ",3(14),313,0.6,0.5,0.6,0.1,0.1,0.4,0.2,0,6.25
Pablo Sarabia,PSG,30," D(L),M(CLR),FW  ",3(11),364,0.4,0.1,0.3,0,0,0.4,0,0,6.25
Iké Ugbo,Troyes,24, FW  ,5(11),422,0.3,0.1,0.3,0,0.1,0.1,0.1,0,6.25
Ismail Jakobs,Monaco,23," D(L),M(L)  ",5(17),605,0.2,0.2,0.2,0.1,0.3,0.2,0,0,6.25
Islam Slimani,Brest,34, FW  ,11(5),989,0.3,0.1,1.1,0,0.6,0.2,0,0,6.24
Ado Onaiwu,Toulouse,27, Forward  ,4(19),668,0.2,0,0.4,0,0.2,0.2,0,0,6.23
Benjamin Leroy,AC Ajaccio,33, GK  ,23,1989,0,0,0,0,0.8,0.1,0,0,6.23
Batista Mendy,Angers,23," D(C),DMC  ",23,1893,2.1,0.6,2,0,0.7,0.4,0.2,0,6.23
Youssouf M'Changama,Auxerre,32, M(C)  ,6(13),643,0.8,0.4,0.4,0,0.2,0.3,0,0,6.21
Cédric Avinel,AC Ajaccio,36, D(C)  ,15(2),1371,0.6,0.7,0.5,0.5,3.7,0.1,0.6,0,6.20
Eliot Matazo,Monaco,21, DMC  ,8(5),718,0.8,0.4,0.5,0,0.7,0.5,0.2,0,6.19
Clément Vidal,AC Ajaccio,22, D(C)  ,11(5),1012,0.9,0.8,0.7,0.2,1.8,0.5,0.4,0,6.18
Sada Thioub,Angers,27, M(LR)  ,5(14),553,0.7,0.1,0.5,0,0.2,0.2,0,0,6.17
Lebo Mothiba,Strasbourg,27, FW  ,1(13),260,0.1,0,0.5,0,0.3,0.1,0,0,6.15
Veljko Birmancevic,Toulouse,25, Midfielder  ,1(17),311,0.6,0.3,0.2,0,0,0.4,0.1,0,6.13
Karamoko Dembélé,Brest,20, Forward  ,0(14),149,0.1,0.1,0.4,0,0,0,0,0,6.06
