Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Sergio Reguilón,Tottenham,26," D(L),M(L)  ",22(3),1923,1.6,1.2,0.9,0.2,1.6,0.8,0.3,0,6.95
Rúben Dias,Man City,25, D(C)  ,27(2),2404,0.9,0.8,0.9,0.9,2.2,0.2,0.4,0,6.95
Marc Cucurella,Brighton,24," D(CL),M(L)  ",35,3092,2.7,0.9,0.8,0.3,1.9,0.8,0.4,0,6.94
Jamie Vardy,Leicester,36," AM(L),FW  ",20(5),1806,0.2,0,0.5,0,0.7,0.2,0,1,6.94
Adama Traoré,Wolves,27," M(CLR),FW  ",10(10),1065,0.4,0.1,0.5,0,0.1,0.2,0.1,0,6.94
Wilfred Ndidi,Leicester,26," D(C),DMC  ",18(1),1619,3.2,2.2,1.6,0.1,2.7,1.7,0.4,0,6.93
Cristian Romero,Tottenham,24, D(C)  ,21(1),1846,2.8,1.5,1.3,0.1,3.3,0.5,1,0,6.92
Hakim Ziyech,Chelsea,29, M(CLR)  ,14(9),1317,0.8,0.4,1,0,0.3,1.1,0,0,6.92
Ben Mee,Burnley,33, D(CL)  ,21,1840,1.2,1.1,0.4,0.5,4.4,0.3,1,1,6.92
Michail Antonio,West Ham,32," D(R),M(CLR),FW  ",34(2),2981,0.6,0.1,1.4,0,0.4,0.3,0,0,6.92
Aaron Wan-Bissaka,Man Utd,25," D(R),M(R)  ",20,1794,2.5,1.7,0.8,0.3,1.6,0.3,0.7,0,6.91
Matty Cash,Aston Villa,25," D(R),M(CLR)  ",38,3380,2.3,1.3,1,0.1,2.2,0.8,0.4,0,6.91
Martin Ødegaard,Arsenal,24, AM(CR)  ,32(4),2793,1.4,0.3,0.8,0.1,0.3,1.1,0,0,6.91
Andreas Christensen,Chelsea,26," D(C),DMC  ",17(2),1496,0.7,1.5,0.6,0.7,2.7,0.2,0.3,0,6.90
Aymeric Laporte,Man City,28, D(CL)  ,33,2836,1,0.6,0.4,0.7,1.8,0.2,0.3,0,6.90
