Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Eldor Shomurodov,Genoa,27, FW  ,16(15),1680,8,1,1,0,1.3,70,1.5,0,6.57
Salvador Ferrer,Spezia,25, D(R)  ,14(4),1191,0,1,4,0,0.2,76.1,1.4,0,6.57
Joakim Maehle,Atalanta,25," D(LR),M(LR)  ",12(8),1211,0,2,0,0,1.1,80.5,0.4,0,6.56
Stefano Okaka,Udinese,33, FW  ,17(5),1493,4,1,2,0,1.1,79.3,2,0,6.56
Adrien Silva,Sampdoria,33, M(C)  ,18(6),1604,1,1,6,1,0.3,87.6,0.8,0,6.56
Jasmin Kurtic,Parma Calcio 1913,34, M(CL)  ,31(3),2747,4,0,5,0,1,86.9,1.1,1,6.56
Marvin Zeegelaar,Udinese,32," D(CL),M(L)  ",23(1),1754,1,0,6,0,0.4,79.1,1.4,0,6.56
Andrea Petagna,Napoli,27, FW  ,9(17),956,4,3,0,0,0.9,80.4,1.1,0,6.55
Rogerio,Sassuolo,25," D(L),M(L)  ",21(7),1874,0,1,4,0,0.6,88.5,0.5,0,6.55
Martin Erlic,Spezia,25, D(C)  ,19(8),1793,3,1,6,0,0.4,84.9,1.6,1,6.55
Bruno Peres,Roma,33," D(LR),M(LR)  ",14(16),1418,1,2,6,0,0.4,86.8,0.2,0,6.55
Felipe Caicedo,Lazio,34, FW  ,9(16),922,8,0,5,0,1.2,71.3,1.1,0,6.55
Salvatore Molina,Crotone,31," DMC,M(LR)  ",28(1),2324,1,4,1,0,0.5,80.7,0.7,0,6.55
Ashley Young,Inter,37," D(LR),M(LR)  ",16(10),1424,1,4,4,0,0.6,82.2,0.2,0,6.54
Pierluigi Gollini,Atalanta,27, GK  ,25,2158,0,0,0,1,0,73.2,0.3,1,6.54
Matteo Ricci,Spezia,28, M(C)  ,26(3),2234,0,2,5,0,0.7,86.4,0.5,0,6.54
Diego Farias,Spezia,32," AM(CLR),FW  ",17(12),1516,4,2,5,0,1.1,82.9,0.3,0,6.54
Leonardo Pavoletti,Cagliari,34, FW  ,17(16),1581,4,3,8,0,1.3,69.2,3.5,0,6.54
Nicolò Rovella,Genoa,21, DMC  ,12(8),1186,0,2,4,0,0.6,86.5,0.4,1,6.54
Keita Baldé,Sampdoria,28," AM(LR),FW  ",12(13),1196,7,1,4,1,1.8,74.8,0.8,1,6.54
