Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Kévin N'Doram,Metz,27, DMC  ,16(3),1239,0,0,5,0,0.4,84.2,0.8,0,6.27
Romain Hamouma,Saint-Etienne,35," M(CLR),FW  ",7(15),883,2,1,2,0,1,77.4,0.2,0,6.25
Adil Aouchiche,Saint-Etienne,20, AM(CL)  ,11(24),1068,0,4,2,0,0.6,81.3,0.3,0,6.24
Sambou Soumano,Lorient,22, FW  ,4(17),435,3,0,1,0,0.9,60.2,0.9,0,6.23
Myron Boadu,Monaco,22, FW  ,7(24),945,4,1,0,0,0.7,76.6,0.5,1,6.22
Léo Leroy,Montpellier,23, DMC  ,7(17),620,0,0,3,0,0.3,80.3,0.5,0,6.21
Benoît Costil,Bordeaux,35, GK  ,25,2250,0,0,1,0,0,67.2,0.3,1,6.16
Nicholas Gioacchini,Montpellier,22, Forward  ,3(25),476,0,2,0,0,0.4,63.8,0.7,0,6.16
Willem Geubbels,Nantes,21, Forward  ,4(18),532,2,1,1,0,0.5,73.1,0.5,0,6.15
Luis Henrique,Marseille,21, M(LR)  ,7(13),695,0,1,0,0,0.3,79.7,0,0,6.15
Fransérgio,Bordeaux,32," M(C),FW  ",14(12),1255,0,1,8,0,0.5,72,1,0,6.14
Béni Makouana,Montpellier,20, Forward  ,1(22),305,0,0,4,0,0.3,74.3,0,0,5.98
