Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Luka Jovic,Eintracht Frankfurt,25, FW  , FW  ,8(10),4,0,1.4,0.3,0.8,0.4,0.2,1.1,1.5,6.55
Daniel Didavi,Stuttgart,33," AM(CR),FW  "," AM(CR),FW  ",10(13),4,3,1,1.1,0.2,0.6,0.2,0.6,0.7,6.54
Péter Gulácsi,RBL,32, GK  , GK  ,33,0,0,0,0,0,0,0,0,0,6.54
Milos Veljkovic,Werder Bremen,27," D(C),DMC  "," D(C),DMC  ",19(4),0,0,0.1,0,0,0.3,0,0.1,0.2,6.54
Munas Dabbur,Hoffenheim,30," AM(C),FW  "," AM(C),FW  ",11(11),4,0,1.3,0.6,1,1.1,0.2,0.8,2,6.54
Raphael Framberger,Augsburg,27," D(R),M(R)  "," D(R),M(R)  ",19(2),0,1,0,0.5,0.4,0.6,0,0.8,1.4,6.53
Robin Quaison,Mainz,29," M(CLR),FW  "," M(CLR),FW  ",18(10),6,2,1.3,0.4,0.6,0.4,0.1,0.6,1.1,6.53
Aymen Barkok,Eintracht Frankfurt,24, AM(CR)  , AM(CR)  ,9(17),2,3,0.7,1,0.9,0.3,0,0.8,1.8,6.53
Noah Katterbach,FC Koln,21, D(L)  , D(L)  ,12(9),0,0,0.4,0.5,0.9,0.8,0,0.8,0.9,6.53
Sven Bender,Leverkusen,33," D(C),M(C)  "," D(C),M(C)  ",14(4),0,0,0.2,0.3,0.1,0.3,0.1,0.2,0.4,6.53
Sebastian Rudy,Hoffenheim,33," D(R),M(CR)  "," D(R),M(CR)  ",21(4),1,2,0.6,1.2,0.4,0.6,0,0.4,0.8,6.53
Andreas Voglsammer,Arminia Bielefeld,31," AM(LR),FW  "," AM(LR),FW  ",11(7),2,2,1.8,0.6,0.2,0.8,0.2,1,1.7,6.53
Taiwo Awoniyi,Union Berlin,25, FW  , FW  ,16(5),5,2,1.4,1,0.6,1,0.7,1.4,3.6,6.53
Marcus Ingvartsen,Union Berlin,27," AM(CR),FW  "," AM(CR),FW  ",24(6),3,5,1.3,0.7,0.5,1,0.2,1.2,2.4,6.52
Denis Zakaria,Borussia M.Gladbach,26," D(C),DMC  "," D(C),DMC  ",15(10),1,1,0.4,0.4,0.8,0.5,0,0.3,0.8,6.52
Valentino Lazaro,Borussia M.Gladbach,26," D(R),M(CLR)  "," D(R),M(CLR)  ",13(9),2,0,0.7,0.8,0.6,0.6,0.1,0.4,0.7,6.52
Roman Bürki,Borussia Dortmund,32, GK  , GK  ,18(1),0,0,0,0,0,0.1,0,0,0.1,6.52
Dominique Heintz,Freiburg,29, D(CL)  , D(CL)  ,14(7),0,0,0.1,0.1,0.2,0.3,0,0.2,0.4,6.51
Kingsley Ehizibue,FC Koln,27," D(R),M(R)  "," D(R),M(R)  ",15(6),0,1,0.4,0.3,0.9,0.7,0.1,0.5,0.7,6.49
Tanguy Coulibaly,Stuttgart,22," M(CLR),FW  "," M(CLR),FW  ",17(14),2,1,0.8,0.5,1.6,0.6,0.3,1.4,1.6,6.49
Philipp Förster,Stuttgart,28," M(CLR),FW  "," M(CLR),FW  ",17(8),3,1,0.8,1.2,0.5,0.8,0.2,0.6,1.8,6.49
Eric Choupo-Moting,Bayern,33," M(CLR),FW  "," M(CLR),FW  ",8(14),3,0,0.9,0.6,0.7,0.4,0.4,0.8,1.2,6.48
Benjamin Stambouli,Schalke,32," D(CR),M(C)  "," D(CR),M(C)  ",22(2),0,2,0.1,0.3,0.7,0.7,0.1,0.6,0.7,6.47
Philipp Klement,Stuttgart,30, M(C)  , M(C)  ,2(16),1,2,0.4,1,0.3,0.1,0,0.5,0.7,6.46
Malick Thiaw,Schalke,21, D(C)  , D(C)  ,15(4),1,0,0.4,0.1,0.1,0.4,0.1,0.2,0.7,6.46
Justin Kluivert,RBL,23, AM(LR)  , AM(LR)  ,8(11),3,0,0.9,0.6,1.2,0.7,0.4,0.7,1.2,6.46
Lukás Hrádecky,Leverkusen,33, GK  , GK  ,29,0,0,0,0,0,0.1,0,0,0,6.46
Kevin Möhwald,Werder Bremen,29, M(CR)  , M(CR)  ,17(10),5,1,0.9,0.4,0.3,1.2,0,0.8,0.7,6.45
Robert Skov,Hoffenheim,26," D(L),M(LR)  "," D(L),M(LR)  ",12(11),1,0,1.4,0.8,0.5,0.7,0.2,0.3,1.7,6.44
Krzysztof Piatek,Hertha Berlin,27, FW  , FW  ,18(14),7,1,1.3,0.3,0.2,0.7,0.6,0.7,1.4,6.44
Atakan Karazor,Stuttgart,26," D(C),DMC  "," D(C),DMC  ",10(9),0,0,0.2,0.1,0.4,0.8,0,0.2,0.8,6.44
Danny Latza,Mainz,33, M(C)  , M(C)  ,21(8),0,2,0.8,0.8,0.6,1,0,0.6,1.1,6.44
Timo Horn,FC Koln,29, GK  , GK  ,34,0,0,0,0,0.1,0,0,0,0,6.44
Lukas Kübler,Freiburg,30," D(CR),M(R)  "," D(CR),M(R)  ",11(8),0,1,0.1,0.3,0.4,0.5,0.1,0.2,0.5,6.44
Admir Mehmedi,Wolfsburg,31," M(CLR),FW  "," M(CLR),FW  ",8(10),0,2,0.4,1,0.4,0.8,0.6,1,1.3,6.44
Jonathan Burkardt,Mainz,22," AM(CR),FW  "," AM(CR),FW  ",16(13),2,0,1,0.5,0.7,1.5,0.1,1,1.6,6.44
Rani Khedira,Augsburg,29," D(C),DMC  "," D(C),DMC  ",23(4),1,0,0.4,0.2,0.1,0.7,0,0.2,0.6,6.43
Roberto Massimo,Stuttgart,22, M(R)  , M(R)  ,7(11),0,0,0.8,0.4,1.2,0.4,0.4,0.8,1.5,6.43
Omar Mascarell,Schalke,30, DMC  , DMC  ,21(3),1,1,0.4,0.2,0.3,0.4,0,0.5,0.7,6.43
Mateo Klimowicz,Stuttgart,22," AM(C),FW  "," AM(C),FW  ",12(13),1,1,1.4,0.6,0.9,0.7,0,1.2,1.1,6.43
Yann Sommer,Borussia M.Gladbach,34, GK  , GK  ,31,0,0,0,0,0,0,0,0,0.1,6.43
Deyovaisio Zeefuik,Hertha Berlin,24," D(R),M(R)  "," D(R),M(R)  ",10(12),1,0,0.1,0.5,0.4,0.8,0,0.2,0.7,6.42
Dominick Drexler,FC Koln,32, AM(CLR)  , AM(CLR)  ,11(16),2,1,0.4,0.6,0.3,0.9,0.2,0.7,0.9,6.42
Karim Bellarabi,Leverkusen,32," M(CLR),FW  "," M(CLR),FW  ",7(15),0,0,1.3,0.7,1.2,0.3,0.4,0.8,1,6.42
Sargis Adamyan,Hoffenheim,29," AM(CLR),FW  "," AM(CLR),FW  ",3(15),2,3,1.3,0.6,0.2,0.4,0.2,0.3,0.8,6.41
Ismail Jakobs,FC Koln,23," D(L),M(L)  "," D(L),M(L)  ",18(5),1,1,1,0.7,0.4,0.6,0.1,0.4,2.1,6.41
Matthew Hoppe,Schalke,21, FW  , FW  ,15(7),6,1,0.9,0.4,0.6,0.7,0.4,0.5,1.8,6.41
Steven Zuber,Eintracht Frankfurt,31," D(L),M(CLR)  "," D(L),M(CLR)  ",6(14),0,3,0.5,0.7,0.6,0.6,0.1,0.4,0.8,6.40
Stefan Ilsanker,Eintracht Frankfurt,33," D(CR),DMC  "," D(CR),DMC  ",17(10),1,0,0.5,0.2,0.3,0.4,0,0.1,0.5,6.40
Mike van der Hoorn,Arminia Bielefeld,30, D(C)  , D(C)  ,15(7),0,0,0.2,0.1,0,0.4,0,0.1,0.1,6.40
Daniel Brosinski,Mainz,34," D(LR),M(LR)  "," D(LR),M(LR)  ",16(5),2,1,0.5,1.3,0.3,0.1,0,0.4,0.5,6.39
Woo-Yeong Jeong,Freiburg,23," AM(CR),FW  "," AM(CR),FW  ",7(19),4,0,0.5,0.5,0.4,0.5,0,0.3,1.1,6.39
Marco Richter,Augsburg,25," M(CLR),FW  "," M(CLR),FW  ",16(13),3,1,1.9,0.5,1.2,1.2,0.2,1.1,2.1,6.39
Christian Groß,Werder Bremen,34," D(C),DMC  "," D(C),DMC  ",17(6),0,1,0.3,0.3,0.4,0.7,0,0.3,0.5,6.38
Nils Petersen,Freiburg,34, FW  , FW  ,12(20),8,0,1,0.3,0.1,0.1,0.2,0.3,1.1,6.38
Sergio Córdova,Arminia Bielefeld,25, FW  , FW  ,13(10),2,1,0.9,0.5,0.5,1,0.4,1,1.8,6.38
Kevin Stöger,Mainz,29, M(CL)  , M(CL)  ,4(15),3,0,0.5,0.6,0.3,0.9,0.1,0.3,0.5,6.38
Javi Martínez,Bayern,34," D(C),M(C)  "," D(C),M(C)  ",4(15),0,0,0.1,0.1,0.1,0.4,0,0.2,0.2,6.37
Patrick Herrmann,Borussia M.Gladbach,32," M(LR),FW  "," M(LR),FW  ",9(18),0,3,0.7,0.8,0.4,0.6,0.3,0.4,0.6,6.37
Kevin Vogt,Hoffenheim,31," D(CR),M(C)  "," D(CR),M(C)  ",20(4),0,1,0,0.2,0.1,0.5,0,0,0.2,6.36
Timo Becker,Schalke,25," D(CR),M(R)  "," D(CR),M(R)  ",18(2),0,0,0.3,0.2,0.8,0.5,0,0.7,1.3,6.36
Carlos Gruezo,Augsburg,27, DMC  , DMC  ,23(5),0,0,0.6,0.3,0.4,0.4,0,0.4,1,6.35
Jean-Manuel Mbom,Werder Bremen,23," D(R),DMC,M(R)  "," D(R),DMC,M(R)  ",15(6),0,1,0.3,0.4,0.2,0.9,0.1,0.5,0.8,6.34
Christian Gentner,Union Berlin,37, M(CLR)  , M(CLR)  ,13(9),0,0,0.3,0.4,0.4,0.7,0.1,0.2,0.7,6.34
Davie Selke,Werder Bremen,28, FW  , FW  ,7(16),3,0,1.2,0.3,0.1,1.2,0.4,0.6,1.1,6.33
Romano Schmid,Werder Bremen,23, AM(CL)  , AM(CL)  ,13(9),0,3,0.8,0.7,0.5,1,0.3,1,1.3,6.33
Jannes Horn,FC Koln,26," D(CL),M(L)  "," D(CL),M(L)  ",20(9),0,1,0.2,0.4,0.3,0.8,0,0.1,0.5,6.32
