Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Andros Townsend,Crystal Palace,31," AM(LR),FW  ",25(9),2259,1,5,0,0,1.1,73.7,0.1,1,6.88
John McGinn,Aston Villa,28, M(CR)  ,37,3330,3,5,12,0,1.2,79.4,0.6,0,6.88
Wilfried Zaha,Crystal Palace,30," AM(LR),FW  ",29(1),2614,11,2,6,0,2,78.3,0.3,2,6.88
Andrew Robertson,Liverpool,28," D(L),M(L)  ",38,3386,1,7,2,0,0.5,84.4,0.8,0,6.88
Bukayo Saka,Arsenal,21," D(L),M(CLR)  ",30(2),2562,5,3,1,0,1.9,81.8,0.4,2,6.88
Jorginho,Chelsea,31, DMC  ,23(5),2014,7,1,2,0,0.5,89.2,0.6,4,6.88
Jonny Evans,Leicester,35, D(CL)  ,28,2476,2,2,7,0,0.3,85.9,3.3,1,6.87
Romain Saïss,Wolves,32," D(C),DMC  ",27,2408,3,0,2,0,1,81.2,2.6,2,6.87
Stuart Dallas,Leeds,31," D(LR),M(CLR)  ",38,3411,8,2,7,0,1.3,83.7,0.9,3,6.87
Dwight McNeil,Burnley,23, AM(CLR)  ,34(2),3071,2,5,1,0,0.7,78.9,0.5,1,6.87
Nick Pope,Burnley,30, GK  ,32,2880,0,0,1,0,0,44.6,0.3,6,6.86
Tanguy Ndombélé,Tottenham,26, M(C)  ,28(5),2108,3,2,3,0,0.5,85.6,0.3,2,6.86
Yerry Mina,Everton,28, D(C)  ,23(1),1939,2,0,2,0,0.7,90.1,2.8,1,6.86
N'Golo Kanté,Chelsea,31, DMC  ,24(6),2146,0,2,7,0,0.3,86.5,0.6,1,6.86
Toby Alderweireld,Tottenham,34, D(CR)  ,25,2241,1,0,2,0,0.4,82.5,1.8,0,6.86
Dani Ceballos,Arsenal,26, M(CL)  ,17(8),1616,0,3,4,0,0.5,87.2,0.3,2,6.85
Bertrand Traoré,Aston Villa,27," AM(R),FW  ",29(7),2338,7,6,1,0,1.8,77.7,0.9,3,6.85
Mateo Kovacic,Chelsea,28, M(CL)  ,21(6),1820,0,1,4,0,0.9,90.8,0.4,2,6.84
Joël Veltman,Brighton,31," D(CR),M(R)  ",25(3),2283,1,1,3,0,0.5,77.7,1.5,0,6.84
Oleksandr Zinchenko,Man City,26," D(L),M(CLR)  ",15(5),1474,0,0,0,0,0.8,89.8,1.5,0,6.84
Antonee Robinson,Fulham,25," D(L),M(L)  ",24(4),2162,0,0,4,1,0.4,74.9,1.3,1,6.84
Kelechi Iheanacho,Leicester,26," AM(C),FW  ",16(9),1458,12,2,1,0,2.4,79.8,0.3,2,6.84
Anthony Martial,Man Utd,27," AM(LR),FW  ",17(5),1488,4,3,0,1,2,84.4,0.8,1,6.84
Lewis Dunk,Brighton,31, D(C)  ,33,2933,5,0,5,2,1,89.4,2.4,0,6.84
