Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Diego Godín,Cagliari,37, D(C)  ,28,2510,2.1,2,1.1,0.7,4,0.5,0.9,0,7.04
Davide Calabria,AC Milan,26," D(LR),M(R)  ",30(2),2652,3.2,1.2,1,0.1,2.2,1.1,0.3,1,7.04
Marcelo Brozovic,Inter,30, M(CR)  ,29(4),2585,1.6,1.2,1,0,1.1,1.2,0.5,0,7.03
Danilo,Juventus,31," D(CLR),DMC  ",32(2),2918,1.8,1.9,0.7,0.2,1.8,0.9,0.4,0,7.03
Milan Badelj,Genoa,34, M(C)  ,29(1),2415,1.9,2.9,1.1,0,1.4,1.9,0.3,0,7.02
Simon Kjaer,AC Milan,33, D(C)  ,28,2397,1.6,1.5,0.9,0.3,4.3,0.4,0.9,0,7.01
Paulo Dybala,Juventus,29," AM(CR),FW  ",14(6),1137,0.7,0.1,0.5,0,0.1,0.6,0,0,7.01
João Pedro,Cagliari,31," AM(CLR),FW  ",37,3262,0.4,0.4,1.2,0.1,0.7,0.7,0.2,0,7.00
Remo Freuler,Atalanta,30, DMC  ,32(2),2721,1.9,1.1,1.1,0.1,0.7,1.3,0.1,0,6.99
Ante Rebic,AC Milan,29," AM(CLR),FW  ",20(7),1782,1,0.3,1.2,0,0.6,1.1,0,0,6.99
Fabián Ruiz,Napoli,26, M(CL)  ,29(4),2576,1.8,1.1,0.3,0,0.9,1.4,0.1,0,6.98
Leonardo Spinazzola,Roma,29," D(LR),M(L)  ",25(2),2130,0.4,0.9,0.3,0.3,1,0.5,0,1,6.98
Achraf Hakimi,Inter,24," D(LR),M(R)  ",29(8),2673,1.4,0.6,0.8,0,0.4,0.7,0,0,6.98
Marten de Roon,Atalanta,31," D(C),DMC  ",33(2),3022,2.3,2,1.9,0.1,1.1,1.4,0.3,0,6.98
Hirving Lozano,Napoli,27," AM(LR),FW  ",23(9),1972,0.9,0.6,1,0,0.2,0.8,0,0,6.98
Juraj Kucka,Parma Calcio 1913,36, M(CLR)  ,28,2345,2.4,1,2.3,0,0.8,1.7,0.1,0,6.97
Nicolò Barella,Inter,26, AM(C)  ,32(4),2901,1.6,0.7,1.2,0,0.3,1.4,0.1,0,6.95
Alex Sandro,Juventus,32," D(CL),M(L)  ",20(6),1859,1.4,1.2,1,0.1,2,0.5,0.2,1,6.94
Rodrigo Bentancur,Juventus,25, M(C)  ,27(6),2326,1.9,1.4,1.4,0,1.2,1.2,0.4,0,6.94
Vlad Chiriches,Sassuolo,33, D(CR)  ,22(2),1843,1.6,2.1,1.3,1,2.3,0.6,0.9,1,6.93
Roberto Soriano,Bologna,32, AM(CLR)  ,37,3255,1.3,0.5,2,0,1.1,1.3,0.2,0,6.93
Marco Faraoni,Verona,31," D(R),M(R)  ",33(1),2896,1.9,1.4,1.4,0.1,2.2,0.8,0.5,0,6.92
Álvaro Morata,Juventus,30," AM(L),FW  ",23(9),2019,0.5,0.2,1.2,0,0.7,0.8,0.1,0,6.91
Andrea Consigli,Sassuolo,36, GK  ,37,3330,0.1,0,0.1,0,0.7,0,0,0,6.91
