Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Igor Silva,Lorient,26," D(R),M(R)  ",17(11),1572,0,0.4,19.4,78.6,0.4,0.7,0,6.28
Kévin N'Doram,Metz,27, DMC  ,16(3),1239,0,0.6,27.3,84.2,0,2.1,0.1,6.27
Romain Hamouma,Saint-Etienne,35," M(CLR),FW  ",7(15),883,1,0.6,12.1,77.4,0.3,0.2,0,6.25
Adil Aouchiche,Saint-Etienne,20, AM(CL)  ,11(24),1068,4,0.5,15.4,81.3,0.4,0.9,0,6.24
Sambou Soumano,Lorient,22, FW  ,4(17),435,0,0.2,4.2,60.2,0,0,0,6.23
Myron Boadu,Monaco,22, FW  ,7(24),945,1,0.2,5.4,76.6,0,0,0,6.22
Léo Leroy,Montpellier,23, DMC  ,7(17),620,0,0.2,13.3,80.3,0,0.4,0,6.21
Benoît Costil,Bordeaux,35, GK  ,25,2250,0,0,33,67.2,0,9.5,0,6.16
Nicholas Gioacchini,Montpellier,22, Forward  ,3(25),476,2,0.2,4.9,63.8,0.1,0.1,0,6.16
Willem Geubbels,Nantes,21, Forward  ,4(18),532,1,0.1,5.9,73.1,0,0.1,0,6.15
Luis Henrique,Marseille,21, M(LR)  ,7(13),695,1,0.4,9.6,79.7,0.2,0.3,0,6.15
Fransérgio,Bordeaux,32," M(C),FW  ",14(12),1255,1,0.3,20,72,0,1.6,0,6.14
Béni Makouana,Montpellier,20, Forward  ,1(22),305,0,0.2,3,74.3,0,0,0,5.98
