Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Valère Germain,Montpellier,32," AM(CLR),FW  "," AM(CLR),FW  ",5(19),2,0,0.8,0.3,0,0.2,0.1,0.3,0.9,6.28
Ibrahima Sissoko,Strasbourg,25," D(C),DMC  "," D(C),DMC  ",8(8),0,0,0.6,0.2,0.1,0.8,0.1,0.8,1.2,6.27
Gerzino Nyamsi,Strasbourg,26, D(C)  , D(C)  ,13,0,0,0.5,0.1,0.2,0.2,0,0,0.4,6.26
M'Baye Niang,Auxerre,28," AM(LR),FW  "," AM(LR),FW  ",13(7),3,0,1.2,0.2,0.4,1.4,0.3,0.8,2.7,6.26
Sébastien Corchia,Nantes,32," D(R),M(R)  "," D(R),M(R)  ",4(15),0,1,0.2,0.3,0.1,0.8,0.1,0.3,0.5,6.26
Ismaël Diallo,AC Ajaccio,26, D(L)  , D(L)  ,18(2),0,0,0.1,0.4,0.4,1,0.1,0.4,1.3,6.26
Marcus Coco,Nantes,26," M(LR),FW  "," M(LR),FW  ",3(14),1,0,0.3,0.2,0.1,0.5,0.1,0.4,0.8,6.25
Pablo Sarabia,PSG,30," D(L),M(CLR),FW  "," D(L),M(CLR),FW  ",3(11),0,0,0.4,0.7,0.1,0.4,0.1,0.5,0.8,6.25
Iké Ugbo,Troyes,24, FW  , FW  ,5(11),2,1,0.6,0.1,0.2,0.1,0.1,0.2,0.6,6.25
Ismail Jakobs,Monaco,23," D(L),M(L)  "," D(L),M(L)  ",5(17),0,2,0.5,0.3,0.1,0.2,0,0.2,0.4,6.25
Islam Slimani,Brest,34, FW  , FW  ,11(5),1,1,0.9,0.8,0.2,0.9,0.6,1.1,2.3,6.24
Ado Onaiwu,Toulouse,27, Forward  , Forward  ,4(19),2,1,0.5,0.2,0.1,0.5,0,0.7,0.7,6.23
Benjamin Leroy,AC Ajaccio,33, GK  , GK  ,23,0,0,0,0,0,0.1,0,0,0.1,6.23
Batista Mendy,Angers,23," D(C),DMC  "," D(C),DMC  ",23,0,0,0.4,0.5,0.7,1.1,0,0.8,0.7,6.23
Youssouf M'Changama,Auxerre,32, M(C)  , M(C)  ,6(13),0,0,0.6,0.4,0.4,0.7,0,0.3,0.6,6.21
Cédric Avinel,AC Ajaccio,36, D(C)  , D(C)  ,15(2),1,0,0.1,0,0,0.1,0,0,0.1,6.20
Eliot Matazo,Monaco,21, DMC  , DMC  ,8(5),0,0,0.2,0,0.1,0.3,0,0.5,0.2,6.19
Clément Vidal,AC Ajaccio,22, D(C)  , D(C)  ,11(5),0,0,0.6,0.1,0,0.6,0.1,0.2,0.2,6.18
Sada Thioub,Angers,27, M(LR)  , M(LR)  ,5(14),0,1,0.4,0.5,0.3,0.2,0,0.7,0.6,6.17
Lebo Mothiba,Strasbourg,27, FW  , FW  ,1(13),2,0,0.4,0,0.1,0.4,0,0.3,0.5,6.15
Veljko Birmancevic,Toulouse,25, Midfielder  , Midfielder  ,1(17),0,0,0.3,0.1,0.1,0.3,0,0.1,0.5,6.13
Karamoko Dembélé,Brest,20, Forward  , Forward  ,0(14),0,0,0.3,0.2,0.1,0.6,0,0.5,0.5,6.06
