Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Leon Goretzka,Bayern,28, M(CR)  ,16(2),1256,3,1,4,0,1.9,83.3,2.1,1,7.06
Frederik Rønnow,Union Berlin,30, GK  ,19,1710,0,0,1,0,0,68,0.3,3,7.06
Patrick Wimmer,Wolfsburg,21, AM(R)  ,15(1),1085,2,6,4,0,0.9,64.6,1.1,0,7.06
Sadio Mané,Bayern,30," AM(CLR),FW  ",12(4),965,6,3,1,0,2.7,75.9,0.6,0,7.04
Borna Sosa,Stuttgart,25," D(L),M(L)  ",13(3),1170,2,6,5,0,0.8,79.5,0.6,2,7.03
Dani Olmo,RBL,24," AM(CLR),FW  ",10(3),752,2,4,0,0,2,76.8,0.3,2,7.02
Paulo Otávio,Wolfsburg,28," D(L),M(L)  ",20,1655,0,5,7,0,0.8,73.9,1.2,1,7.01
Raphaël Guerreiro,Borussia Dortmund,29," D(L),M(CL)  ",17,1485,1,6,3,0,1.1,84.6,0.2,0,7.01
Philipp Hofmann,Bochum,29, FW  ,20(3),1727,7,1,2,0,1.5,58.4,5.8,3,6.95
Mitchell Weiser,Werder Bremen,28," D(R),M(R)  ",19(1),1662,1,7,5,0,1,71,0.9,1,6.94
Karim Onisiwo,Mainz,30," AM(CLR),FW  ",21,1839,8,1,3,0,2.5,60.4,2.1,2,6.94
Jonas Hector,FC Koln,32," D(L),M(CL)  ",21,1836,0,1,1,0,0.9,77.3,1.5,0,6.94
Matthias Ginter,Freiburg,29," D(CR),DMC  ",23,2070,3,1,2,0,0.5,83.1,3.5,0,6.94
Wataru Endo,Stuttgart,30, DMC  ,22,1935,3,2,0,0,1.5,77.8,2.3,0,6.94
Matthijs de Ligt,Bayern,23, D(C)  ,16(4),1426,2,0,3,0,0.6,91.5,2.5,0,6.94
Marvin Ducksch,Werder Bremen,29, FW  ,23,1921,5,5,2,0,2.4,70.9,0.8,1,6.93
Christoph Baumgartner,Hoffenheim,23," AM(CLR),FW  ",23,1850,5,3,5,0,2.1,68.8,1.7,1,6.93
Ramy Bensebaïni,Borussia M.Gladbach,27," D(CL),DMC,M(L)  ",21,1878,5,0,3,1,1.4,77,2.6,1,6.93
