Name,Team,Age,Position,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating,League,Saison,Start Application,Remplacement Application,Key passes per game,Passes per game,Crosses per game,Long balls per game,Through balls per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Dribble
Robert Tesche,Hamburger SV,32,Midfielder,1117,2.0,1,2.0,0.0,0.3,82.9,0.5,1.0,6.46,Bundesliga,2011,11,12,0.3,23.6,0.0,1.8,0.0,0.5,0.7,0.0,0.9,0.9,0.0
Nikita Rukavytsya,Hertha Berlin,32,"Midfielder, Forward",1367,1.0,2,0.0,0.0,0.6,72.8,0.1,0.0,6.43,Bundesliga,2011,16,8,0.7,17.0,0.5,0.4,0.0,0.5,0.4,0.4,0.8,0.6,0.0
Peniel Mlapa,Hoffenheim,28,"Midfielder, Forward",1042,1.0,1,2.0,0.0,1.0,75.9,0.8,0.0,6.41,Bundesliga,2011,10,14,0.5,10.0,0.3,0.3,0.1,0.7,0.4,0.6,0.8,0.8,0.0
Stefan Reisinger,Freiburg,37,"Midfielder, Forward",874,3.0,0,2.0,0.0,1.0,69.1,0.3,0.0,6.32,Bundesliga,2011,5,20,0.2,6.0,0.1,0.1,0.0,0.6,0.8,0.1,0.7,0.8,0.0
David Pizarro,Roma,39,Midfielder,2748,2.0,7,6.0,1.0,0.9,88.0,0.0,4.0,7.58,SerieA,2009,31,0,3.2,62.2,2.0,7.6,0.3,0.8,2.3,0.0,1.3,0.0,0.0
Francesco Totti,Roma,42,"Midfielder, Forward",1808,14.0,6,6.0,0.0,2.8,73.5,0.1,7.0,7.58,SerieA,2009,21,2,2.3,31.0,0.8,1.8,1.0,0.9,3.3,0.7,2.9,0.0,0.0
Alexis Sánchez,Udinese,30,"Midfielder, Forward",2299,5.0,3,5.0,0.0,1.8,78.0,0.9,7.0,7.53,SerieA,2009,25,7,2.2,26.8,1.0,0.9,0.7,2.2,3.1,0.4,2.3,0.0,0.0
Ronaldinho,AC Milan,39,"Midfielder, Forward",2901,12.0,14,6.0,0.0,2.2,79.1,0.3,7.0,7.53,SerieA,2009,34,2,2.4,41.3,0.6,2.3,1.4,2.0,2.3,0.2,3.4,0.0,0.0
Alexandre Pato,AC Milan,29,"Midfielder, Forward",1804,12.0,1,2.0,0.0,2.5,80.1,0.5,3.0,7.52,SerieA,2009,20,3,0.9,24.3,0.4,1.0,0.2,2.7,2.9,0.7,2.7,0.0,0.0
Daniele Conti,Cagliari,40,"Midfielder, Forward",2844,5.0,5,15.0,0.0,1.3,82.4,1.4,6.0,7.49,SerieA,2009,32,0,1.1,51.7,0.5,4.3,0.3,0.2,2.2,0.0,0.7,0.0,0.0
